epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.935776,3.29255,6.86974,3.71944,0,0,0,0,0,9.95312,0,0,0,0
2,1.39143,5.54223,25.0935,5.0742,0,0,0,0,0,10.0781,0,1.9802e-05,1.9802e-05,1.9802e-05
3,1.87034,3.91499,27.8753,5.90065,0,0,0,0,0,10.1953,0,3.9208e-05,3.9208e-05,3.9208e-05
4,3.24437,3.61864,6.59734,3.66419,0,0,0,0,0,13.75,0,5.8218e-05,5.8218e-05,5.8218e-05
5,5.24596,4.34364,8.06397,3.82852,0,0,0,0,0,14.3281,0,7.6832e-05,7.6832e-05,7.6832e-05
6,6.18657,3.82191,5.39657,3.90214,0,0,0,0,0,26.9062,0,9.505e-05,9.505e-05,9.505e-05
7,7.89574,3.33443,11.2042,4.38741,0,0,0,0,0,26.7969,0,0.000112872,0.000112872,0.000112872
8,8.76288,4.63561,9.30018,4.99977,0,0,0,0,0,34.375,0,0.000130298,0.000130298,0.000130298
9,9.63554,3.28286,3.28771,3.04566,0,0,0,0,0,34.375,0,0.000147328,0.000147328,0.000147328
10,11.289,2.89923,6.33883,3.00185,0,0,0,0,0,27.9688,0,0.000163962,0.000163962,0.000163962
11,12.1436,3.24777,4.34089,3.07203,0,0,0,0,0,27.9688,0,0.0001802,0.0001802,0.0001802
12,13.8832,3.94101,6.73395,4.23186,0,0,0,0,0,28.2031,0,0.000196042,0.000196042,0.000196042
13,14.7006,2.44093,6.46432,2.80357,0,0,0,0,0,28.2031,0,0.000211488,0.000211488,0.000211488
14,15.781,2.54338,4.28249,2.68414,0,0,0,0,0,38.2812,0,0.000226538,0.000226538,0.000226538
15,16.5633,2.5638,2.76437,2.63488,0,0,0,0,0,38.2812,0,0.000241192,0.000241192,0.000241192
16,18.0855,2.11617,2.7178,2.25911,0,0,0,0,0,58.9688,0,0.00025545,0.00025545,0.00025545
17,18.9365,1.98691,3.24949,2.15805,0,0,0,0,0,58.9688,0,0.000269312,0.000269312,0.000269312
18,19.8169,1.18464,2.90998,1.91903,0,0,0,0,0,64.375,0,0.000282778,0.000282778,0.000282778
19,20.6461,2.19704,2.52373,2.57463,0,0,0,0,0,64.375,0,0.000295848,0.000295848,0.000295848
20,21.509,3.29883,3.47105,3.29092,0,0,0,0,0,39.3125,0,0.000308522,0.000308522,0.000308522
21,22.3727,1.80826,2.28909,2.37474,0,0,0,0,0,39.3125,0,0.0003208,0.0003208,0.0003208
22,23.2521,1.68539,2.36896,1.92599,0,0,0,0,0,31.625,0,0.000332682,0.000332682,0.000332682
23,24.0949,1.24907,1.82659,1.76867,0,0,0,0,0,31.625,0,0.000344168,0.000344168,0.000344168
24,25.373,1.23206,2.53451,1.79295,0,0,0,0,0,31.625,0,0.000355258,0.000355258,0.000355258
25,26.2271,1.90281,2.18217,2.46273,0,0,0,0,0,32.4375,0,0.000365952,0.000365952,0.000365952
26,27.1496,1.52875,6.78161,1.70135,0,0,0,0,0,32.4375,0,0.00037625,0.00037625,0.00037625
